"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].111534e8c6a74bd1fdf6.hot-update.js", "JavaScript", -561, 0, -345, -336, -1242
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].120d4dfe1ece97a34cb2.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].1d5043ec43f09b1bcf65.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].1f426b92a5f6010155dd.hot-update.js", "JavaScript", -182, 0, -129, -121, -432
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].215e704ea72b81b47bfd.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].2632bb850dcf7a2c8e00.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].2647fdff0e056eef9768.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].28176be5ede7ea8aa0bf.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].29985851f1b26d03c484.hot-update.js", "JavaScript", -4210, 0, -2448, -2487, -9145
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].2cf7ea67bb6989d894f4.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].30cd06ecff7ad73f5e91.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].3838d4131a861b4c9f3e.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].38bcbaa06cd52fa1424a.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].3e227d74f563e9b73655.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].3fdf87e2de6f1c12c706.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].4150b9390bfcf0557b9b.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].4cb37d9cf549a15a99e9.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
