"filename", "language", "TypeScript", "GraphQL", "JavaScript", "JSON with Comments", "JSON", "comment", "blank", "total"
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/on-error-server.js.js", "JavaScript", 0, 0, 83, 0, 0, 21, 4, 108
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages-manifest.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 6
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/_app.js", "JavaScript", 0, 0, 274, 0, 0, 197, 137, 608
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/_document.js", "JavaScript", 0, 0, 149, 0, 0, 81, 50, 280
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/_error.js", "JavaScript", 0, 0, 99, 0, 0, 37, 17, 153
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/next/dist/pages/_error.js", "JavaScript", 0, 0, 95, 0, 0, 33, 13, 141
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/pages/users/[id].js", "JavaScript", 0, 0, 91, 0, 0, 29, 10, 130
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/ssr-module-cache.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2, 4
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/0.js", "JavaScript", 0, 0, 7, 0, 0, 4, 4, 15
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/amp.js", "JavaScript", 0, 0, 52, 0, 0, 44, 34, 130
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/main.js", "JavaScript", 0, 0, 1088, 0, 0, 896, 673, 2657
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/static/chunks/pages/_app.js", "JavaScript", 0, 0, 4043, 0, 0, 3278, 2457, 9778
